host,port,proto,name,state,info
"10.11.1.221","5357","tcp","http","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.11.1.73","5357","tcp","http","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.11.1.75","5357","tcp","http","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.11.1.227","5800","tcp","vnc-http","open","RealVNC 4.0 resolution: 400x250; VNC TCP port: 5900"
"10.11.1.73","5800","tcp","vnc-http","open","TightVNC user: gamma; VNC TCP port: 5900"
"10.11.1.128","5800","tcp","vnc-http","open","TightVNC"
"10.11.1.227","6532","tcp","http","open","Microsoft IIS httpd 5.0"
"10.11.1.202","7778","tcp","http","open","Oracle HTTP Server Powered by Apache 1.3.22 mod_plsql/3.0.9.8.3b mod_ssl/2.8.5 OpenSSL/0.9.6b mod_fastcgi/2.2.12 mod_oprocmgr/1.0 mod_perl/1.25"
"10.11.1.252","8000","tcp","http","open","Apache httpd 2.2.3 (CentOS)"
"10.11.1.44","8000","tcp","ssl/http-alt","open",""
"10.11.1.73","8014","tcp","http","open","Apache httpd"
"10.11.1.39","8080","tcp","http-proxy","filtered",""
"10.11.1.44","8080","tcp","http-proxy","closed",""
"10.11.1.50","8080","tcp","http-proxy","filtered",""
"10.11.1.128","8080","tcp","http-proxy","closed",""
"10.11.1.71","8080","tcp","http-proxy","closed",""
"10.11.1.49","8080","tcp","http-proxy","filtered",""
"10.11.1.72","8080","tcp","http-proxy","closed",""
"10.11.1.115","8080","tcp","http-proxy","closed",""
"10.11.1.116","8080","tcp","http-proxy","closed",""
"10.11.1.125","8080","tcp","http-proxy","filtered",""
"10.11.1.217","8080","tcp","http-proxy","closed",""
"10.11.1.136","8080","tcp","http-proxy","closed",""
"10.11.1.141","8080","tcp","http-proxy","closed",""
"10.11.1.218","8080","tcp","http-proxy","filtered",""
"10.11.1.221","8080","tcp","http-proxy","filtered",""
"10.11.1.226","8080","tcp","http-proxy","filtered",""
"10.11.1.234","8080","tcp","http-proxy","closed",""
"10.11.1.237","8080","tcp","http-proxy","closed",""
"10.11.1.227","8080","tcp","http-proxy","closed",""
"10.11.1.229","8080","tcp","http-proxy","filtered",""
"10.11.1.238","8080","tcp","http-proxy","closed",""
"10.11.1.247","8080","tcp","http-proxy","filtered",""
"10.11.1.251","8080","tcp","http-proxy","filtered",""
"10.11.1.252","8080","tcp","http-proxy","filtered",""
"10.11.1.24","8080","tcp","http-proxy","closed",""
"10.11.1.223","8080","tcp","http-proxy","closed",""
"10.11.1.219","8080","tcp","http-proxy","filtered",""
"10.11.1.133","8080","tcp","http-proxy","closed",""
"10.11.1.145","8080","tcp","http","open","Apache Tomcat/Coyote JSP engine 1.1"
"10.11.1.230","8080","tcp","http-proxy","closed","Ncat http proxy Nmap 4.85BETA1 or later"
"10.11.1.75","8080","tcp","http-proxy","filtered",""
"10.11.1.5","8080","tcp","http-proxy","closed",""
"10.11.1.7","8080","tcp","http-proxy","filtered",""
"10.11.1.8","8080","tcp","http-proxy","filtered",""
"10.11.1.22","8080","tcp","http-proxy","closed",""
"10.11.1.10","8080","tcp","http-proxy","filtered",""
"10.11.1.13","8080","tcp","http-proxy","filtered",""
"10.11.1.14","8080","tcp","http-proxy","filtered",""
"10.11.1.31","8080","tcp","http-proxy","closed",""
"10.11.1.35","8080","tcp","http-proxy","filtered",""
"10.11.1.209","8080","tcp","http","open","Apache Tomcat/Coyote JSP engine 1.1"
"10.11.1.73","8080","tcp","http","open","Apache httpd 2.4.9 (Win32) PHP/5.5.12"
"10.11.1.220","8080","tcp","http-proxy","closed",""
"10.11.1.202","8080","tcp","http-proxy","closed","Oracle XML DB/Oracle9i Enterprise Edition Release 9.2.0.1.0 - Production"
"10.11.1.146","8080","tcp","http-proxy","closed",""
"10.11.1.252","8888","tcp","http-proxy","open","Squid http proxy 3.3.8"
"10.11.1.50","9505","tcp","http","open","HttpFileServer httpd"
"10.11.1.49","9505","tcp","http","open","HttpFileServer httpd"
"10.11.1.141","10000","tcp","http","open","MiniServ 0.01 Webmin httpd"
"10.11.1.75","10243","tcp","http","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.11.1.73","10243","tcp","http","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.11.1.234","10443","tcp","http","open","CoreHTTP httpd 0.5.3.1"
"10.11.1.220","47001","tcp","http","open","Microsoft HTTPAPI httpd 2.0 SSDP/UPnP"
"10.11.1.220","49157","tcp","ncacn_http","open","Microsoft Windows RPC over HTTP 1.0"
